filename;rms_mean;rms_std;zcr_mean;zcr_std;tempo;n_beats;spectral_centroid_mean;spectral_centroid_std;spectral_rolloff_mean;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;chroma_stft_mean;chroma_stft_std
Tiesto - Adagio For Strings (Sub Zero Project Bootleg) (320 kbps).mp3;20386538;11007468;9,59E+15;5,09E+14;[151.99908088];307;2,49E+15;5,43E+14;5,42E+15;-5808256;53028603;7605438;20378595;-7579097;17885641;25735329;13194493;-3405894;12830746;13021185;11192414;12270795;10039269;41811166;865787;-8500215;76084;4474789;900093;-15736418;7735367;74706113;7096778;-3066172;794672;39104012;3041438
Tiesto - Seavolution (From Hotel Transylvania 3).mp3;28819647;10907018;1,43E+16;5,81E+16;[151.99908088];278;3,03E+16;7,40E+15;6,13E+15;-12675077;964526;50341274;28101255;-376154;30239502;-19483618;19158777;-27074497;14447422;8473292;13081136;-55274205;1444737;44933176;1309461;-28445776;11623317;24054537;12198604;32098732;9553082;8438379;9254275;2307937;850339;45218965;27678254
Tiesto - Traffic (Firelite Extended Edit) (320 kbps).mp3;20598464;12544148;8,60E+15;5,97E+15;[151.99908088];540;2,16E+15;9,79E+15;4,68E+15;-7808934;11683516;9903141;4884344;-57499533;29860294;156264515;15155079;14115417;13728328;594155;11697671;-22674572;9365303;6680294;8497634;29755828;8228045;61999903;8100605;18272291;69712677;5393086;7732566;33052104;73922696;47209814;29530567
Tiesto The Chainsmokers Split (Only U).mp3;30682158;13718157;1,35E+16;9,36E+15;[129.19921875];641;3,05E+16;1,05E+16;6,40E+15;-18886492;8944137;56879604;39787853;-20068424;28905552;20560192;23264828;23625207;16398188;10426553;120334425;-2557652;1099291;26937082;11161201;-33261895;117256565;-10700899;10887463;-5658059;9927866;1049783;84348755;-30213528;8962493;50677514;2816314
Tigerlily & Dimatik - Spice Temple (Overdrive Remix).mp3;34127998;120992474;1,33E+16;6,46E+15;[151.99908088];643;3,01E+16;6,65E+15;6,28E+15;27926807;7785378;6224764;26840343;-10081184;1600196;1870838;1447019;40576377;10416594;13474403;10749878;81462187;9311165;4372328;8897424;35878844;10019266;65273385;9199484;-11050175;79775257;4501944;8391112;-3035785;8375336;48814353;28111112
Timmy Trumpet & Florian Picasso — Armageddon (Original Mix).mp3;28684968;11626192;1,16E+16;5,86E+15;[143.5546875];390;2,65E+16;8,90E+15;5,71E+15;-9567622;99146355;8156921;38129707;-11861478;16266113;14602213;12754376;811517;10363956;6619463;9317477;-29031672;9300552;81028914;9901788;-32010598;8472531;62111;76254473;-18028983;77492614;36091537;77781706;-21689143;7027757;37839663;28911957
Timmy Trumpet & Maddix - The Prophecy (Extended Mix).mp3;2806063;13438499;1,18E+15;6,97E+14;[135.99917763];542;2,73E+15;7,65E+15;5,87E+15;-2460545;7890355;6746458;24419724;-7606341;19607698;1360579;18024866;-42756987;17093456;14643722;1665432;23072097;12155632;48469534;12821648;8107182;13798919;69682555;1136435;61043034;11739423;9265543;11256184;-10026239;10289876;41133937;29854202
Timmy Trumpet & Sub Zero Project - Rockstar (feat. DV8) (Extended Mix).mp3;27709624;17458096;1,27E+16;8,99E+15;[151.99908088];654;2,91E+14;7,92E+15;6,32E+15;-23000551;7136831;6396266;30304306;-12854317;23458069;1004339;20349463;5835278;13753058;12327734;13274326;535291;1334088;6779748;9916198;21155648;9441842;58934135;8009163;2410902;7911007;78717837;8007777;10830817;6833543;5658929;2576994
Timmy Trumpet & TNT — Scarborough Fair (Speeeedy Maxi Version).mp3;21739136;15402657;1,38E+16;8,47E+15;[151.99908088];747;2,95E+16;9,53E+15;6,29E+15;-41423676;87198845;6733639;35415718;-2710097;19483461;13991028;15451978;3109446;133344145;11399104;13387137;12039913;10315274;8171195;9500897;91578436;10159336;724133;8558204;12400992;8064942;551834;792882;11693418;72986474;49960682;28603587
Timmy Trumpet & Vengaboys - Up & Down (Original Mix).mp3;16348357;10007462;1,16E+16;6,68E+15;[135.99917763];257;2,76E+16;1,02E+16;5,76E+15;-9427626;12977464;7410476;45470222;-62557893;30890139;10998838;1857551;-37252834;1652221;32648335;15204753;-15968913;13433185;61577816;13733102;5311773;9880509;35170712;10189492;27482948;9237874;1392106;9600998;-38056047;8133899;5051688;29876277
Timmy Trumpet & Vitas - The King.mp3;2702241;14311965;7,34E+15;5,03E+15;[151.99908088];273;2,40E+16;8,17E+14;5,56E+15;-78486046;111749725;795014;32436733;12797856;2195467;-11019336;1836816;47330823;16836794;10326822;14800305;8760957;12940716;11348905;12160181;25300984;15104883;8115723;12663394;5467067;12807244;9352258;12979598;65617695;12464849;40764046;30893773
